proto,subproto,bulk0,bulk1,bulk2,bulk3,client_packet0,client_packet1,server_packet0,server_packet1,client_bulksize_avg,client_bulksize_dev,server_bulksize_avg,server_bulksize_dev,client_packetsize_avg,client_packetsize_dev,server_packetsize_avg,server_packetsize_dev,client_packets_per_bulk,server_packets_per_bulk,client_effeciency,server_efficiency,byte_ratio,payload_ratio,packet_ratio,client_bytes,client_payload,client_packets,client_bulks,server_bytes,server_payload,server_packets,server_bulks,is_tcp
DNS,,56,143,57,139,64,65,151,147,70.2,17.747112441183212,156.2,18.583863968507735,78.2,17.747112441183212,164.2,18.583863968507735,1.0,1.0,0.8976982097186701,0.951278928136419,0.4762484774665043,0.4494238156209987,1.0,391,351,5,5,821,781,5,5,0
DNS,,28,60,41,57,36,49,68,65,34.75,4.656984002549289,66.25,9.65336728815391,42.75,4.656984002549289,74.25,9.65336728815391,1.0,1.0,0.8128654970760234,0.8922558922558923,0.5757575757575758,0.5245283018867924,1.0,171,139,4,4,297,265,4,4,0
DNS,,39,94,36,89,47,44,102,97,39.0,9.85900603509299,102.6,18.575252353602092,47.0,9.85900603509299,110.6,18.575252353602092,1.0,1.0,0.8297872340425532,0.9276672694394213,0.42495479204339964,0.38011695906432746,1.0,235,195,5,5,553,513,5,5,0
DNS,Microsoft365,36,197,57,139,44,65,205,147,49.666666666666664,9.672412085697939,159.66666666666666,26.449112566503164,57.666666666666664,9.672412085697939,167.66666666666666,26.449112566503164,1.0,1.0,0.861271676300578,0.952286282306163,0.34393638170974156,0.31106471816283926,1.0,173,149,3,3,503,479,3,3,0
TLS,,529,3244,1229,274,549,20,20,1480,879.0,350.0,1759.0,1485.0,459.5,430.02470859242493,606.3333333333334,629.8850865215196,2.0,3.0,0.956474428726877,0.9670148433205058,0.5052226498075866,0.49971574758385445,0.6666666666666666,1838,1758,4,2,3638,3518,6,2,1
TLS,,522,150,3697,0,542,71,20,170,2109.5,1587.5,150.0,0.0,547.375,414.8833985290325,95.0,75.0,4.0,2.0,0.9634619776204613,0.7894736842105263,23.04736842105263,28.126666666666665,4.0,4379,4219,8,2,190,150,2,1,1
TLS,,526,3244,889,274,546,20,20,1480,707.5,181.5,1759.0,1485.0,373.75,305.8450383772802,606.3333333333334,629.8850865215196,2.0,3.0,0.9464882943143813,0.9670148433205058,0.4109400769653656,0.40221716884593517,0.6666666666666666,1495,1415,4,2,3638,3518,6,2,1
TLS,,626,264,80,350,646,100,20,284,353.0,273.0,307.0,43.0,255.33333333333334,278.1670161771321,107.71428571428571,119.70525025568222,1.5,3.5,0.9216710182767625,0.8143236074270557,1.0159151193633953,1.1498371335504887,0.42857142857142855,766,706,3,2,754,614,7,2,1
TLS,Outlook,236,4430,158,51,256,20,1480,1480,1104.6666666666667,1284.0294216082261,2240.5,2189.5,682.8,655.3382027625125,916.2,690.5112309007001,1.6666666666666667,2.5,0.9707088459285296,0.9781707050862257,0.7452521283562541,0.7395670609239009,1.0,3414,3314,5,3,4581,4481,5,2,1
TLS,Microsoft365,567,99,633,4521,587,653,119,1480,455.3333333333333,206.35621844007727,2310.0,2211.0,293.2,269.41670326837567,944.0,656.597593659922,1.6666666666666667,2.5,0.931787175989086,0.9788135593220338,0.31059322033898307,0.2956709956709957,1.0,1466,1366,5,3,4720,4620,5,2,1
QUIC,YouTube,3312,2186,0,0,1258,84,1258,785,3312.0,0.0,2186.0,0.0,836.0,481.1590173736745,372.3333333333333,479.32232254391084,4.0,6.0,0.9904306220095693,0.9785138764547896,1.4968666069829901,1.515096065873742,0.6666666666666666,3344,3312,4,1,2234,2186,6,1,0
TLS,,528,4049,871,274,548,20,20,1480,699.5,171.5,2161.5,1887.5,369.75,317.5754831532182,740.5,645.2642223668275,2.0,3.0,0.9459093982420554,0.9729912221471978,0.3328831870357866,0.323617857969003,0.6666666666666666,1479,1399,4,2,4443,4323,6,2,1
TLS,,524,4112,730,0,544,20,20,1480,627.0,103.0,4112.0,0.0,270.8,231.50239739579374,842.4,673.0116195133633,2.5,5.0,0.9261447562776958,0.976258309591643,0.3214624881291548,0.30496108949416345,1.0,1354,1254,5,2,4212,4112,5,1,1
QUIC,Google,1327,2121,938,117,1258,85,1258,797,1132.5,194.5,1119.0,1002.0,461.0,496.6862188545199,455.6,489.7152642097242,2.5,2.5,0.982646420824295,0.9824407374890255,1.0118525021949079,1.0120643431635388,1.0,2305,2265,5,2,2278,2238,5,2,0
QUIC,YouTube,3312,2476,0,0,1258,84,1258,802,3312.0,0.0,2476.0,0.0,836.0,481.1590173736745,420.6666666666667,461.1538668263434,4.0,6.0,0.9904306220095693,0.9809825673534073,1.3248811410459589,1.3376413570274637,0.6666666666666666,3344,3312,4,1,2524,2476,6,1,0
TLS,,526,150,3499,69,546,71,20,170,2012.5,1486.5,109.5,40.5,690.8333333333334,575.8829211644402,74.75,61.787438043667095,3.0,2.0,0.971049457177322,0.7324414715719063,13.862876254180602,18.378995433789953,1.5,4145,4025,6,2,299,219,4,2,1
DNS,,57,139,86,173,65,94,147,181,70.2,17.747112441183212,156.2,18.583863968507735,78.2,17.747112441183212,164.2,18.583863968507735,1.0,1.0,0.8976982097186701,0.951278928136419,0.4762484774665043,0.4494238156209987,1.0,391,351,5,5,821,781,5,5,0
QUIC,YouTube,2969,5391,41,0,1258,87,1258,1258,1505.0,1464.0,5391.0,0.0,610.0,541.5078946792927,1086.2,343.6,2.5,5.0,0.9868852459016394,0.992634873872215,0.5615908672436015,0.558337970691894,1.0,3050,3010,5,2,5431,5391,5,1,0
TLS,,517,3233,2675,258,537,20,20,1430,1596.0,1079.0,1745.5,1487.5,658.4,553.3196544493969,718.2,595.9726168206053,2.5,2.5,0.9696233292831106,0.9721526037315511,0.9167362851573377,0.9143511887711258,1.0,3292,3192,5,2,3591,3491,5,2,1
QUIC,YouTube,3090,6923,0,0,1258,86,685,1254,3090.0,0.0,6923.0,0.0,780.5,500.08274315357056,1161.8333333333333,213.25135143508209,4.0,6.0,0.9897501601537476,0.9931143307990246,0.4478554009467795,0.4463382926476961,0.6666666666666666,3122,3090,4,1,6971,6923,6,1,0
TLS,Microsoft,592,154,706,69,612,71,20,174,649.0,57.0,111.5,42.5,344.5,250.40017971239558,57.166666666666664,58.00694402875879,2.0,3.0,0.941944847605225,0.6501457725947521,4.017492711370262,5.820627802690583,0.6666666666666666,1378,1298,4,2,343,223,6,2,1
DNS,,57,139,33,110,65,41,147,118,51.8,9.410632284814874,134.8,12.528367810692659,59.8,9.410632284814874,142.8,12.528367810692659,1.0,1.0,0.8662207357859532,0.9439775910364145,0.41876750700280113,0.38427299703264095,1.0,299,259,5,5,714,674,5,5,0
TLS,,530,4562,2697,0,550,20,20,1480,1613.5,1083.5,4562.0,0.0,665.4,562.1372074502808,932.4,673.1352315842635,2.5,5.0,0.9699428914938383,0.9785499785499786,0.7136422136422137,0.7073651907058308,1.0,3327,3227,5,2,4662,4562,5,1,1
QUIC,GoogleServices,2148,2186,111,0,1258,88,1258,793,1129.5,1018.5,2186.0,0.0,459.8,494.8900483945904,445.2,496.88163580474577,2.5,5.0,0.9826011309264898,0.9820305480682839,1.032794249775382,1.0333943275388837,1.0,2299,2259,5,2,2226,2186,5,1,0
TLS,NetFlix,517,3433,126,51,537,20,20,1480,433.6666666666667,225.03974957524483,1648.0,1387.0806273128705,345.25,270.63755744537747,844.0,656.5965275570684,1.3333333333333333,2.0,0.942070963070239,0.976303317535545,0.2727093206951027,0.2631472491909385,0.6666666666666666,1381,1301,4,3,5064,4944,6,3,1
TLS,,517,2368,126,51,537,20,20,1480,214.66666666666666,219.78828196445983,1209.5,1158.5,148.8,200.10937009545555,506.2,596.1303213224437,1.6666666666666667,2.5,0.8655913978494624,0.9557487159225603,0.29395495851442116,0.26622571310458865,1.0,744,644,5,3,2531,2419,5,2,1
DNS,,27,91,42,138,35,50,99,146,43.4,17.03643155123748,92.75,31.13980571551467,44.166666666666664,4.705198071164368,100.75,31.13980571551467,1.2,1.0,0.8188679245283019,0.9205955334987593,0.6575682382133995,0.5849056603773585,1.5,265,217,6,5,403,371,4,4,0
TLS,,517,4552,172,0,537,32,20,1480,344.5,172.5,4552.0,0.0,160.2,191.84201833800645,930.4,584.8027359717121,2.5,5.0,0.8601747815230961,0.9785038693035254,0.1721840068787618,0.15136203866432338,1.0,801,689,5,2,4652,4552,5,1,1
DNS,Microsoft365,38,212,66,63,46,41,220,71,52.0,14.0,137.5,74.5,42.666666666666664,2.357022603955158,145.5,74.5,1.5,1.0,0.8125,0.9450171821305842,0.43986254295532645,0.3781818181818182,1.5,128,104,3,2,291,275,2,2,0
TLS,Microsoft365,621,264,80,350,641,100,20,284,350.5,270.5,307.0,43.0,253.66666666666666,275.8264349590558,107.71428571428571,119.70525025568222,1.5,3.5,0.9211563731931669,0.8143236074270557,1.009283819628647,1.1416938110749186,0.42857142857142855,761,701,3,2,754,614,7,2,1
TLS,Microsoft,517,7300,158,0,537,32,1480,1480,337.5,179.5,7300.0,0.0,159.8,197.3934142771739,1480.0,0.0,2.5,5.0,0.8448060075093867,0.9864864864864865,0.10797297297297297,0.09246575342465753,1.0,799,675,5,2,7400,7300,5,1,1
TLS,,613,254,80,62,633,100,20,274,231.33333333333334,271.7993540994696,158.0,96.0,158.8,239.0994772056183,85.6,96.94039405737941,1.6666666666666667,2.5,0.8740554156171285,0.7383177570093458,1.855140186915888,2.1962025316455698,1.0,794,694,5,3,428,316,5,2,1
TLS,AmazonAWS,517,5630,0,0,537,20,20,1480,517.0,0.0,5630.0,0.0,155.25,220.45790414498637,958.3333333333334,645.5534232131545,4.0,6.0,0.8325281803542673,0.9791304347826087,0.108,0.09182948490230906,0.6666666666666666,621,517,4,1,5750,5630,6,1,1
TLS,,529,3244,1207,274,549,20,20,1480,868.0,339.0,1759.0,1485.0,454.0,421.56079039682993,606.3333333333334,629.8850865215196,2.0,3.0,0.9559471365638766,0.9670148433205058,0.49917537108301263,0.49346219442865263,0.6666666666666666,1816,1736,4,2,3638,3518,6,2,1
TLS,,517,3244,1521,258,537,20,20,1480,1019.0,502.0,1751.0,1493.0,529.5,545.6255584189582,603.6666666666666,631.2341527163716,2.0,3.0,0.9622285174693107,0.9668691330756488,0.5847598012147984,0.5819531696173615,0.6666666666666666,2118,2038,4,2,3622,3502,6,2,1
TLS,,517,146,51,69,537,71,20,166,189.66666666666666,232.3579613919485,107.5,38.5,133.8,202.55310414802335,63.0,58.020685966299986,1.6666666666666667,2.5,0.8505231689088192,0.6825396825396826,2.123809523809524,2.646511627906977,1.0,669,569,5,3,315,215,5,2,1
TLS,,527,3233,126,274,547,20,20,1480,218.0,224.37617223463516,1753.5,1479.5,150.8,203.9915684532084,721.4,628.7185697909678,1.6666666666666667,2.5,0.8673740053050398,0.9722761297477128,0.20903798170224563,0.1864841745081266,1.0,754,654,5,3,3607,3507,5,2,1
TLS,,526,3244,889,274,546,20,20,1480,707.5,181.5,1759.0,1485.0,373.75,305.8450383772802,606.3333333333334,629.8850865215196,2.0,3.0,0.9464882943143813,0.9670148433205058,0.4109400769653656,0.40221716884593517,0.6666666666666666,1495,1415,4,2,3638,3518,6,2,1
TLS,,521,156,2711,400,541,71,20,176,1616.0,1095.0,278.0,122.0,666.4,589.1480628840258,131.2,141.16005100594148,2.5,2.5,0.9699879951980792,0.8475609756097561,5.079268292682927,5.81294964028777,1.0,3332,3232,5,2,656,556,5,2,1
TLS,Microsoft365,517,99,479,4521,537,499,119,1480,356.6666666666667,200.47665422409884,1574.3333333333333,2083.608621811901,287.5,232.3687801749624,807.1666666666666,672.9664223091339,1.3333333333333333,2.0,0.9304347826086956,0.9752219698533967,0.23745612223828205,0.2265509210247724,0.6666666666666666,1150,1070,4,3,4843,4723,6,3,1
TLS,Microsoft365,517,6496,257,0,537,20,1480,1480,387.0,130.0,6496.0,0.0,174.8,190.91296446286722,1319.2,321.6,2.5,5.0,0.88558352402746,0.9848392965433597,0.132504548211037,0.11915024630541872,1.0,874,774,5,2,6596,6496,5,1,1
TLS,MS_OneDrive,596,5817,1697,0,616,32,20,1480,1146.5,550.5,5817.0,0.0,481.0,529.3618800027067,1183.4,581.768201262324,2.5,5.0,0.9534303534303534,0.9830995436876796,0.4064559743113064,0.39418944473096096,1.0,2405,2293,5,2,5917,5817,5,1,1
QUIC,YouTube,3015,2027,0,0,1258,86,785,1258,3015.0,0.0,2027.0,0.0,384.875,398.8481658162665,1021.5,236.5,8.0,2.0,0.9792140305293927,0.9921683798335781,1.50709740577582,1.48741983226443,4.0,3079,3015,8,1,2043,2027,2,1,0
